DATE,SID,TIME,WAIT
2018-11-12,3011,08:00:00,359.0
2018-11-12,3013,08:00:00,239.00000000000003
2018-11-12,3082,08:00:00,719.0
2018-11-12,3084,08:00:00,779.0
2018-11-12,3087,08:00:00,599.0
2018-11-12,3238,08:00:00,118.00000000000001
2018-11-12,33476,08:00:00,1244.0
2018-11-12,3476,08:00:00,13.0
2018-11-12,3477,08:00:00,58.00000000000001
2018-11-12,3486,08:00:00,13.0
2018-11-12,36498,08:00:00,28.0
2018-11-12,37099,08:00:00,58.00000000000001
2018-11-12,37941,08:00:00,644.0
2018-11-12,3931,08:00:00,118.00000000000001
2018-11-12,3935,08:00:00,118.00000000000001
2018-11-12,3936,08:00:00,118.00000000000001
2018-11-12,4657,08:00:00,1470.0
2018-11-12,4659,08:00:00,1199.0
2018-11-12,4660,08:00:00,1109.0
2018-11-12,4661,08:00:00,1049.0
2018-11-12,4662,08:00:00,989.0000000000001
2018-11-12,4663,08:00:00,899.0
2018-11-12,4664,08:00:00,809.0
2018-11-12,4665,08:00:00,163.0
2018-11-12,4666,08:00:00,284.0
2018-11-12,4667,08:00:00,689.0
2018-11-12,4668,08:00:00,629.0
2018-11-12,4669,08:00:00,419.0
2018-11-12,4671,08:00:00,569.0
2018-11-12,4672,08:00:00,524.0
2018-11-12,4675,08:00:00,389.0
2018-11-12,4676,08:00:00,239.00000000000003
2018-11-12,4677,08:00:00,329.0
2018-11-12,4680,08:00:00,178.0
2018-11-12,4681,08:00:00,269.0
2018-11-12,4966,08:00:00,479.00000000000006
2018-11-12,4967,08:00:00,599.0
2018-11-12,4968,08:00:00,629.0
2018-11-12,4969,08:00:00,719.0
2018-11-12,4970,08:00:00,779.0
2018-11-12,4971,08:00:00,13.0
2018-11-12,4972,08:00:00,13.0
2018-11-12,4973,08:00:00,13.0
2018-11-12,5336,08:00:00,88.0
2018-11-12,5528,08:00:00,223.0
2018-11-12,5529,08:00:00,344.0
2018-11-12,5530,08:00:00,734.0
2018-11-12,5531,08:00:00,689.0
2018-11-12,5532,08:00:00,404.0
2018-11-12,5533,08:00:00,13.0
2018-11-12,5534,08:00:00,464.00000000000006
2018-11-12,5535,08:00:00,13.0
2018-11-12,5536,08:00:00,13.0
2018-11-12,5537,08:00:00,13.0
2018-11-12,5538,08:00:00,13.0
2018-11-12,5539,08:00:00,13.0
2018-11-12,5540,08:00:00,13.0
2018-11-12,5541,08:00:00,103.0
2018-11-12,5542,08:00:00,133.0
2018-11-12,5543,08:00:00,13.0
2018-11-12,5544,08:00:00,28.0
2018-11-12,5545,08:00:00,13.0
2018-11-12,5546,08:00:00,13.0
2018-11-12,5547,08:00:00,13.0
2018-11-12,5548,08:00:00,178.0
2018-11-12,5551,08:00:00,13.0
2018-11-12,5552,08:00:00,254.00000000000003
2018-11-12,5553,08:00:00,118.00000000000001
2018-11-12,5554,08:00:00,359.0
2018-11-12,5557,08:00:00,58.00000000000001
2018-11-12,5558,08:00:00,419.0
2018-11-12,5561,08:00:00,13.0
2018-11-12,5562,08:00:00,479.00000000000006
2018-11-12,5565,08:00:00,13.0
2018-11-12,5566,08:00:00,539.0
2018-11-12,5567,08:00:00,133.0
2018-11-12,5571,08:00:00,13.0
2018-11-12,5572,08:00:00,779.0
2018-11-12,5573,08:00:00,1019.0000000000001
2018-11-12,5574,08:00:00,208.0
2018-11-12,5575,08:00:00,404.0
2018-11-12,5577,08:00:00,479.00000000000006
2018-11-12,5578,08:00:00,899.0
2018-11-12,5579,08:00:00,103.0
2018-11-12,5580,08:00:00,1019.0000000000001
2018-11-12,5582,08:00:00,13.0
2018-11-12,5583,08:00:00,13.0
2018-11-12,5584,08:00:00,794.0
2018-11-12,5585,08:00:00,148.0
2018-11-12,5586,08:00:00,13.0
2018-11-12,5588,08:00:00,28.0
2018-11-12,5589,08:00:00,1620.0
2018-11-12,5590,08:00:00,1139.0
2018-11-12,5592,08:00:00,1439.0
2018-11-12,5593,08:00:00,449.0
2018-11-12,5594,08:00:00,28.0
2018-11-12,5595,08:00:00,314.0
2018-11-12,5596,08:00:00,419.0
2018-11-12,5597,08:00:00,899.0
2018-11-12,5598,08:00:00,1379.0
2018-11-12,5599,08:00:00,524.0
2018-11-12,5601,08:00:00,314.0
2018-11-12,5602,08:00:00,1680.0
2018-11-12,5604,08:00:00,1560.0
2018-11-12,5605,08:00:00,299.0
2018-11-12,5607,08:00:00,1199.0
2018-11-12,5608,08:00:00,269.0
2018-11-12,5609,08:00:00,1334.0
2018-11-12,5610,08:00:00,13.0
